id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22020734	1	0	우리 아이 때문에 걱정이 많이 돼요. 아이가 괜찮은 건지 불안하고 모르겠어요.	N	2022-09-23 13:17:33	2022-11-08 14:38:32
BE22020734	2	1	왜 그러는 거예요? 무슨 일 있었어요?	N	2022-09-23 13:17:33	2022-09-23 13:17:33
BE22020734	3	0	아이가 아직까지 눈을 똑바로 맞추지 못하니까요. 다른 아이들보다 많이 느린 것 같아서 불안해요. 어디가 아픈 건 아닌지 걱정이 되기도 하고요.	N	2022-09-23 13:17:33	2022-09-23 13:17:33
BE22020734	4	1	한 달 전에 병원에 갔을 때는 괜찮다고 하지 않았어요? 아이를 좀 더 지켜봐야하지 않을까요?	N	2022-09-23 13:17:33	2022-09-23 13:17:33
BE22020734	5	0	병원에서도 지켜보자고 했는데 아이를 볼 때마다 너무 불안해서요. 앞으로도 계속 눈을 똑바로 맞추지 못할까 봐 걱정스러워요.	N	2022-09-23 13:17:33	2022-11-08 14:38:32
BE22020734	6	1	당신 마음 이해해요. 사실 나도 아이를 생각하면 불안할 때가 있어요. 당신 마음을 알겠어요.	N	2022-09-23 13:17:33	2022-09-23 13:17:33
BE22020734	7	0	발달이 느린 아이들은 눈을 똑바로 맞추는데 시간이 오래 걸린다고 하더라고요. 우리 아이가 늦된 아이라는 건 알지만, 심각한 문제가 있을까 봐 많이 불안해요.	N	2022-09-23 13:17:33	2022-11-08 14:38:32
BE22020734	8	1	병원에서도 지켜보자고 했고, 아이들마다 자라는 속도가 다르니까 너무 걱정하지 말아요. 우리가 아이를 열심히 돌보고 있으니까 괜찮아질 거예요.	N	2022-09-23 13:17:33	2022-11-08 14:38:32
BE22020734	9	0	당신이 그렇게 말해주니까 마음이 한결 나아지네요. 불안한 마음 때문에 일이 손에 안 잡힐 정도였거든요. 당신이랑 얘기하니까 좀 낫네요.	N	2022-09-23 13:17:33	2022-11-08 14:38:32
BE22020734	10	1	불안한 마음을 혼자 견디려면 힘들게 마련이에요. 아이 때문에 힘들 때는 언제든 나한테 말하도록 해요.	N	2022-09-23 13:17:33	2022-11-08 14:38:32
BE22020734	11	0	아이가 눈을 똑바로 맞추는지 여부를 확인하려고 아이를 자주 쳐다보고 있어요. 그래서 더 불안해지는 것 같기도 해요.	N	2022-09-23 13:17:33	2022-09-23 13:17:33
BE22020734	12	1	아이가 괜찮은지 걱정되어 당신이 아이에게 시선을 계속 두고 있는 게 문제일 수 있어요. 아이가 괜찮을 거라는 믿음을 갖고 아이를 돌보는 게 필요하지 않을까요?	N	2022-09-23 13:17:33	2022-09-23 13:17:33
BE22020734	13	0	그렇게 하도록 할게요. 마음을 차분하게 가라앉히고 아이를 돌보는 게 정말 어렵네요.	N	2022-09-23 13:17:33	2022-11-08 14:38:32
BE22020734	14	1	아이를 돌보는 당신이 불안하면 아이에게 부정적인 영향을 줄 수 있어요. 그러니까 아이를 위해서 그리고 당신을 위해서 불안한 마음을 잘 달래보도록 해요.	N	2022-09-23 13:17:33	2022-11-08 14:38:32
BE22020734	15	0	내 얘기 들어줘서 고마워요. 당신이랑 얘기하면서 마음이 한결 편안해졌어요.	Y	2022-09-23 13:17:33	2022-11-08 14:38:33
