question,answer
"엄마, 학교에서 성적이 나왔는데 꽤 만족스러워요. 빨리 이 점수를 엄마 눈으로 확인시켜 드리고 싶네요.",성적 나오자마자 학교에서 연락한 거 보니 점수가 좋은가 보다. 네가 들떠있는 것 같아 엄마도 기분이 좋아.
점수가 많이 향상됐다고 담임 선생님께 칭찬받았어요. 그러니까 더 만족스럽고 기분이 좋더라고요.,칭찬은 누구든 마음이 기쁨의 춤을 추게 하지. 노력의 결과에 칭찬받게 되면 앞으로 더 열심히 할 힘을 얻게 되는 것 같아. 네가 앞으로도 노력하는 자세를 갖게 될 것 같아 엄마 마음이 뿌듯하다.
더구나 많은 친구 앞에서 칭찬해 주시는데 부끄러우면서도 마음에 자신감이 붙더라고요. 노력은 배신하지 않는다는 걸 깨달았어요.,"맞아, 성적이 오른 것도 칭찬하고 싶지만 네가 노력하는 과정을 칭찬하고 싶구나. 노력이 당장은 눈앞에 보이지 않는 것 같아도 언젠간 이렇게 큰 보상으로 돌아온단다. 그러니 네가 겸손한 마음으로 지치지 않고 꾸준히 앞으로 나가는 사람이었으면 좋겠어."
자만심에 우쭐거릴 뻔한 마음을 진정시켜주셔서 감사해요. 늘 겸손한 사람이 되도록 노력할게요.,자만심은 경계하고 다른 사람이 해 주는 칭찬은 올곧이 받아들일 수 있는 네가 되길 바란다. 칭찬을 의심하고 제대로 못 받는 사람들도 더러 있는데 너는 그렇지 않았으면 좋겠구나. 칭찬을 제대로 받아 마음껏 기뻐할 줄 알 때 다른 사람에게도 칭찬을 건넬 수 있어.
선생님이 해주신 칭찬을 통해서 큰 기쁨을 얻었어요. 이 기쁨을 나누기 위해서라도 저도 다른 사람들을 마음껏 칭찬할 수 있는 사람이 되어야겠어요.,너의 마음의 자세가 바람직하게 성장해나가는 것 같아 엄마는 더할 나위 없이 기뻐. 앞으로도 이 정도로만 마음 건강한 사람으로 커나가렴.
이게 모두 엄마의 올바른 가르침 탓이죠. 엄마의 조언을 들으면서 제가 하루하루 더 발전해 나갈 수 있는 것 같아요.,내가 가르친 것보다 더 눈부신 발전을 하는 것 같은 아들 때문에 놀라곤 해. 너의 마음이 무럭무럭 자라나는 걸 보면 경이롭기까지 하단다. 앞으로 받은 사랑과 칭찬만큼 주변에 더 베풀길 바라.
"선생님 칭찬도 아주 기뻤지만, 엄마의 칭찬이 저를 더 만족스럽게 하는 것 같아요. 진짜 밥 먹지 않아도 배부른 느낌이에요.",너의 기쁨이 곧 엄마의 기쁨이기도 하지. 남은 시간도 선생님 말씀 잘 듣고 수업 착실히 받다 오렴. 있다가 집에서 보자.
"아빠, 저 지금 야근 끝났는데 코인노래방에 가서 노래를 부르고 왔더니 세상을 다 가진 듯해요. 온갖 스트레스가 날아가는 느낌이라 정말 기뻐요.",야근 후에 답답한 속을 노래방이 해소 시켜주었을 것 같아. 날아 갈듯이 몸이 가벼워지고 마음도 덩달아 가뿐해졌겠구나. 우리 아들이 이렇게 신나 하는 모습을 보니 아빠도 참 흐뭇하네.
제가 진짜 좋아하는 가수의 앨범이 나왔어요. 신곡이 이렇게 빨리 뜰 거라고 예상하지 못했는데 생각지도 않게 발매가 된 거죠. 그래서 그 노래를 열심히 듣고 부르고 싶어서 노래방에 노래가 나오자 마자 부르고 왔어요.,"진짜 우리 아들이 기뻐서 구름 위를 둥둥 떠다니는 기분이겠다. 우리 아들이 진짜 손꼽아서 가수의 신곡을 기다리고 있었잖아, 그런데 생각보다도 빨리 나오다니 행복하겠다."
언제나 새 노래가 나오기 만을 고대 했거든요. 진짜 생각지도 못하고 기대도 안 하고 있었는데 너무 깜짝 선물처럼 나왔어요.,진짜로 서프라이즈 선물 같았겠다. 나오는 순간 너무 놀라서 곧바로 소리를 막 질렀을 거 같아. 우리 아들 이야기를 듣기만 해도 지금 네가 얼마나 행복하고 기쁠지 상상이 될 정도야.
