id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22027741	1	0	오늘 나 진짜 망신살이 뻗쳤어. 교수님 뒤통수를 갈기다니, 나 이제 학교 어떻게 다니지?	N	2022-10-12 22:35:42	2022-10-12 22:35:42
BE22027741	2	1	교수님을 때렸다고? 대체 무슨 일이야?	N	2022-10-12 22:35:42	2022-10-12 22:35:42
BE22027741	3	0	꼭 검은색 새 부리형 마스크만 끼고 다니는 친구가 있거든. 안경도 검정색 테에다가 딱 보니 친구더라고. 그런데 오늘따라 옷을 헐렁하게 입었길래 놀려주려고 뒤로 다가가 머리통을 갈겼어.	N	2022-10-12 22:35:42	2022-11-08 15:19:58
BE22027741	4	1	그랬는데 친구가 아니라 교수님이었다고? 맙소사, 어떡해!	N	2022-10-12 22:35:42	2022-10-12 22:35:42
BE22027741	5	0	응, 뒤통수를 때리고 나서 깔깔대고 웃는데 저 멀리에서 진짜 그 친구가 오는 게 보이더라. 그럼 이 친구는 뭐니 싶어 당황해서 쳐다봤지. 심지어 옆 단과대학 교수님이었대.	N	2022-10-12 22:35:42	2022-11-08 15:19:58
BE22027741	6	1	와, 진짜 민망하고 쥐구멍으로 들어가고 싶었겠다. 얼마나 당황스럽고 진땀이 뻘뻘 났을까, 상상만으로도 괴로워서 현기증이 나.	N	2022-10-12 22:35:42	2022-11-08 15:19:58
BE22027741	7	0	다행히 옆에 있던 조교들이 교수님이 너무 젊으셔서 그렇다고 무마하려든 듯이 거들어줬어. 졸지에 학생한테 얻어맞은 교수님 표정이 좋지는 않더라. 옆 건물이라 또 마주칠 수도 있는데 볼 때마다 당황할 것 같아, 어떡하냐.	N	2022-10-12 22:35:42	2022-10-12 22:35:42
BE22027741	8	1	마스크 때문에 사람 알아보기 정말 어렵잖아, 거기다 검은색 마스크라니 혼동할 만도 해. 그래도 진짜 창피하고 당혹스럽고 민망해서 혼이 빠졌을 것 같네, 가엾어라.	N	2022-10-12 22:35:42	2022-11-08 15:19:58
BE22027741	9	0	너무 당황하니깐 죄송하다는 말도 잘 안 나오더라니까. 실수해놓고 사과도 안 하는 뻔뻔한 학생이 된 것 같아서 더 난감하고 허둥지둥했어.	N	2022-10-12 22:35:42	2022-11-08 15:19:58
BE22027741	10	1	교수님도 네가 너무 당황해서 오히려 사죄의 말씀도 못 드리는 거라고 눈치채셨을 거야. 그래도 주변에 조교들이 무마하려고 해줬다니 다행이야. 단둘이 그런 상황이었으면 얼마나 더 낯 뜨겁고 괴로웠겠어.	N	2022-10-12 22:35:42	2022-11-08 15:19:58
BE22027741	11	0	아무리 마스크 탓이라지만 어떻게 교수랑 친구를 혼동했을까. 나도 참 눈썰미가 없나 봐. 생각할수록 민망해.	N	2022-10-12 22:35:42	2022-11-08 15:19:58
BE22027741	12	1	교수님 스타일이 학생 같으셨나 보지. 내심 학생처럼 어려 보였다는 게 흐뭇하셨을지도 몰라. 자꾸 좋은 쪽으로만 생각하고 잊어버려.	N	2022-10-12 22:35:42	2022-11-08 15:19:58
BE22027741	13	0	그렇지, 너무 어려 보이셨던 교수님의 탓도 조금 있는 거지? 하하, 그렇게 생각하고 나도 그만 잊어버려야겠다. 앞으로 마주치면 어쩌나 고민했는데 그럴 필요도 없겠어.	N	2022-10-12 22:35:42	2022-11-08 15:19:58
BE22027741	14	1	그렇다니까, 교수님도 당황하고 너도 당황스러운 순간이었겠지만 돌아보면 유쾌한 추억일 거야. 정 괴롭고 민망하면 나중에 음료수라도 사 들고 사과 방문이라도 해.	N	2022-10-12 22:35:42	2022-11-08 15:19:58
BE22027741	15	0	좋은 생각이다! 역시 나의 해결사야. 고마워.	Y	2022-10-12 22:35:42	2022-11-08 15:19:58
