id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22016421	1	0	오늘 아침에 출근길에 지하철을 갈아타러 가다가 계단에서 넘어져서 굴렀지 뭐야. 정말 너무 당황스러웠어.	N	2022-08-30 15:14:13	2022-08-30 15:14:13
BE22016421	2	1	너처럼 조심스러운 애가 어쩌다 넘어졌어?	N	2022-08-30 15:14:13	2022-08-30 15:14:13
BE22016421	3	0	그러니까 말이야. 오늘 아침에 지각할 것 같아서 서두르다가 넘어졌어. 주변에 사람이 어찌나 많은지 너무 당황스러웠다니까.	N	2022-08-30 15:14:13	2022-11-08 14:09:12
BE22016421	4	1	사람들 앞에서 넘어졌다니 너 정말 창피했겠다. 어디 다친 데는 없어?	N	2022-08-30 15:14:13	2022-11-08 14:09:12
BE22016421	5	0	다행히 다친 곳은 없어. 내가 좀 조심했으면 넘어지지 않았을 텐데, 내가 너무 주의하지 못하고 바보같이 덜렁댔어.	N	2022-08-30 15:14:13	2022-11-08 14:09:12
BE22016421	6	1	누구나 아침에 지각할 것 같으면 서두르다가 한 번씩 실수하곤 하잖아. 너무 자책하지 마, 사람이라면 조금 덜렁거릴 때도 있는 거지.	N	2022-08-30 15:14:13	2022-11-08 14:09:12
BE22016421	7	0	내가 마치 구경거리라도 되는 것처럼 날 쳐다보던 사람들의 시선이 잊히지 않아서 너무 당황스러워.	N	2022-08-30 15:14:13	2022-11-08 14:09:12
BE22016421	8	1	그렇게 갑작스럽게 사람들의 이목을 끄는 일이 생기면 너무 부끄럽지. 네 마음 충분히 이해해.	N	2022-08-30 15:14:13	2022-11-08 14:09:12
BE22016421	9	0	너무 부끄러웠는데 네 말을 듣고 보니 다들 도와주려고 쳐다본 것이라는 생각도 드네. 그렇게 생각하니까 한결 낫다.	N	2022-08-30 15:14:13	2022-11-08 14:09:12
BE22016421	10	1	갑자기 네가 넘어지니까 너를 도와주려고 한 건 아닐까? 입장이 바뀌었다면 넌 그랬을 거잖아.	N	2022-08-30 15:14:13	2022-11-08 14:09:12
BE22016421	11	0	맞아. 누군가 내 앞에서 넘어졌다면, 난 도와주려고 쳐다보거나 그쪽으로 달려갔을 것 같아.	N	2022-08-30 15:14:13	2022-08-30 15:14:13
BE22016421	12	1	그것처럼 사람들도 너를 흉보거나 창피를 주려는 의도가 아니었을 거야. 그나저나 다치지 않은 것만도 정말 천만다행이다.	N	2022-08-30 15:14:13	2022-08-30 15:14:13
BE22016421	13	0	발목이 조금 아프긴 하지만, 당황스러움 때문에 통증은 잊었지 뭐야.	N	2022-08-30 15:14:13	2022-08-30 15:14:13
BE22016421	14	1	살면서 서두르다가 안 넘어져 본 사람이 어디 있겠어. 다들 그런 경험 한 번쯤은 있을 거야, 너무 부끄러워하지 마.	N	2022-08-30 15:14:13	2022-11-08 14:09:13
BE22016421	15	0	맞아. 그건 그렇지. 네가 그렇게 얘기해주니까 이제 그냥 하나의 재밌는 에피소드를 만들었다는 생각이 드네!	Y	2022-08-30 15:14:13	2022-11-08 14:09:13
