id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22029096	1	0	아빠, 요즘 제가 환경에 도움이 되는 일을 하고 있어서 기분이 참 좋아요. 이 행복 덕분에 계속 꾸준히 하게 되네요.	N	2022-10-14 23:15:13	2022-10-14 23:15:13
BE22029096	2	1	무슨 일을 하고 있길래 그렇게 만족스러운 마음이 든 거니? 나도 참 알고 싶구나!	N	2022-10-14 23:15:13	2022-10-14 23:15:13
BE22029096	3	0	하루에 하나씩 지구를 살리는 작은 실천을 해요. 지구의 환경을 위해서 도움이 되는 일을 한다 생각하니까 마음이 편해지네요. 직접 실천하는 거라 기분도 좋고요!	N	2022-10-14 23:15:13	2022-10-14 23:15:13
BE22029096	4	1	우리 아들, 참 훌륭한 일을 하고 있구나! 특히 환경 문제가 심해지는 요즘에 그렇게 행동하는 거 참 멋진 것 같아. 우리 아들 참 사려 깊고 마음이 따뜻하구나.	N	2022-10-14 23:15:13	2022-10-14 23:15:13
BE22029096	5	0	얼마 전에 환경 관련 다큐멘터리를 봤거든요. 모든 사람이 힘을 합쳐야 지구를 살릴 수 있다고 하길래 저도 실천하기로 마음 먹었어요. 이렇게 실천하니까 왜 더 일찍 환경을 위해 행동하지 않았을까 싶더라고요.	N	2022-10-14 23:15:13	2022-10-14 23:15:13
BE22029096	6	1	그래도 꾸준히 그렇게 하는 게 쉽지 않을 텐데 말이야. 늦었다 생각하고 아무 것도 안 하는 사람보다 훨씬 나아. 내가 지구라면 우리 아들 같은 사람들에게 아주 고마운 마음을 느낄 것 같아.	N	2022-10-14 23:15:13	2022-11-08 15:28:10
BE22029096	7	0	그렇게 말씀해주니 더 기분이 좋아지네요. 확실히 아무것도 안 할 때마다 마음이 편하고 괜찮아져요. 오늘도 집에 있는 냄비를 가게에 들고 가서 플라스틱 용기 대신 냄비에 음식 포장해왔어요.	N	2022-10-14 23:15:13	2022-10-14 23:15:13
BE22029096	8	1	생각보다 귀찮고 번거로운 일이었을 텐데 지구를 생각하는 그 마음씨가 참 아름답구나. 너 같은 사람들이 세상을 좋아지게 만드는 것 같구나. 너의 그 행동이 다른 사람들에게 선한 영향력으로 전파가 될 거야.	N	2022-10-14 23:15:13	2022-10-14 23:15:13
BE22029096	9	0	저처럼 지구를 위해 행동하는 사람들이 많아졌으면 좋겠네요. 혼자 하는 것보다 같이 하는 게 더 좋을 것 같아서 친구들에게도 동참하자고 권유하고 있어요. 이렇게 실천하는 게 힘들기는커녕 오히려 뿌듯해져서 제 정신 건강에도 좋더라고요.	N	2022-10-14 23:15:13	2022-11-08 15:28:10
BE22029096	10	1	누군가에게 도움이 되었단 사실에 행복해지는 기분 나도 잘 알지. 나도 예전에 유기견센터에 봉사한 적이 있었거든. 그래서 그 뿌듯하고 편안한 마음 잘 알아.	N	2022-10-14 23:15:13	2022-10-14 23:15:13
BE22029096	11	0	제가 아빠를 닮아서 이런 실천들을 꾸준히 하나 봐요! 이게 다 아빠가 평소에 그런 선한 행동들을 하셔서 제가 따라 하는 걸지도 몰라요.	N	2022-10-14 23:15:13	2022-10-14 23:15:13
BE22029096	12	1	아냐, 나는 환경을 위해서 뭔가를 한 적이 없는데 널 보니까 반성하게 돼. 나도 지구를 위해 플라스틱 용기 사용을 자제해야겠어. 네 덕분에 나도 지구를 다시 한번 생각할 수 있게 됐단다!	N	2022-10-14 23:15:13	2022-11-08 15:28:10
BE22029096	13	0	제가 아빠에게도 선한 영향력을 준 것 같아서 기분이 좋네요. 이제 친구들에게 지구를 위해 할 수 있는 행동들을 알려주러 가야겠어요. 문자 정말 즐거웠어요!	N	2022-10-14 23:15:13	2022-10-14 23:15:13
BE22029096	14	1	그래, 그 기분 그 마인드 계속 쭉 유지되기를 바란다! 네가 내 아들이란 게 너무 자랑스러워!	Y	2022-10-14 23:15:13	2022-11-08 15:28:10
