id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22023747	1	0	대리님, 저 남편이랑 싸웠는데 아직도 화가 나서 진정이 안돼요.	N	2022-10-03 22:14:55	2022-10-03 22:14:55
BE22023747	2	1	무슨 일이길래 감정화자씨가 그렇게 화가 났어? 집에 큰일이라도 생긴 거야?	N	2022-10-03 22:14:55	2022-11-08 14:56:15
BE22023747	3	0	어제 남편이 자기가 먹던 과자를 반려견이랑 나눠 먹는 거 있죠. 제가 그걸 지적했더니 되려 저한테 화를 내길래 서로 심하게 다퉜어요.	N	2022-10-03 22:14:55	2022-11-08 14:56:15
BE22023747	4	1	감정화자씨한테 그런 일이 있었구나. 남편이랑 심하게 싸웠다고 하니까 내가 마음이 너무 안좋다.	N	2022-10-03 22:14:55	2022-11-08 14:56:15
BE22023747	5	0	제가 매일 반려견은 사람이 먹는 음식 먹이면 안된다고 계속 말해줬어요. 그런데도 생각 없이 반려견한테 과자를 주니까 너무 화가 나는 거 있죠.	N	2022-10-03 22:14:55	2022-10-03 22:14:55
BE22023747	6	1	감정화자씨가 반려견을 얼마나 아끼고 소중하게 대하는지 알아. 그렇게 소중한 반려견한테 남편이 자꾸 사람이 먹는 음식을 주니까 나였어도 화가 났을 거야. 감정화자씨가 많이 힘들었겠다.	N	2022-10-03 22:14:55	2022-11-08 14:56:15
BE22023747	7	0	제 말을 제대로 듣지도 않고 그냥 넘기면서 왜 되려 저한테 화를 내는 건지 모르겠어요. 진짜 화가 나서 얼굴도 보기 싫어요.	N	2022-10-03 22:14:55	2022-10-03 22:14:55
BE22023747	8	1	감정화자씨가 여러 번 말을 해줬는데도 남편이 자꾸 같은 행동을 반복해서 정말 화가 났겠다. 남편이 잘못한 일이라 사과해줬으면 했는데 되려 화를 내니까 감정화자씨도 화가 나고 서운했겠어.	N	2022-10-03 22:14:55	2022-11-08 14:56:15
BE22023747	9	0	반려견이 자꾸 사람 음식 먹으면 탈 나고 병도 생기는데 왜 그러는지 모르겠어요. 평소에는 신경도 안 쓰면서 왜 자꾸 음식을 주는 건지 저는 이해가 안가요.	N	2022-10-03 22:14:55	2022-11-08 14:56:15
BE22023747	10	1	감정화자씨가 반려견을 위해서 한 행동인데 남편이 받아들여 주지 않아서 정말 힘들었겠어. 나였어도 나한테 그러는 남편한테 정말 크게 화를 냈을 거야. 감정화자씨 혼자서 반려견 돌보고 챙겨주느라 정말 힘들었겠다.	N	2022-10-03 22:14:55	2022-11-08 14:56:15
BE22023747	11	0	제 말도 제대로 안 듣고 자꾸 그럴 거면 왜 저랑 사는지 잘 모르겠어요. 남편은 제 마음을 너무 몰라줘서 그것도 화가 나요.	N	2022-10-03 22:14:55	2022-11-08 14:56:15
BE22023747	12	1	감정화자씨가 평소에 남편한테 서운한 일이 정말 많았구나. 감정화자씨 마음이 자꾸 무시당하는 것 같아서 정말 화가 많이 났을 것 같아. 평소에 감정화자씨가 얼마나 많이 노력하고 열심히 하는데 그걸 몰라줘서 서운했겠어.	N	2022-10-03 22:14:55	2022-11-08 14:56:15
BE22023747	13	0	맞아요, 그래도 대리님이 저 힘든 거 알아주셔서 정말 큰 위로가 되네요. 마음이 좀 진정되니까 남편이 안 좋은 점만 있는 게 아니고 좋은 점도 있다는 생각이 문득 드네요.	N	2022-10-03 22:14:55	2022-11-08 14:56:15
BE22023747	14	1	감정화자씨 마음이 많이 가벼워졌다니까 너무 다행이다. 원래 서로 맞춰가면서 사는 게 엄청 힘들잖아. 그래도 감정화자씨는 잘 할 수 있을 거라고 믿어.	N	2022-10-03 22:14:55	2022-11-08 14:56:15
BE22023747	15	0	그렇게 말씀해주셔서 정말 감사합니다, 대리님. 저 대리님 덕분에 남편이랑 다시 얘기해 볼 용기가 났어요. 정말 감사드려요.	Y	2022-10-03 22:14:55	2022-11-08 14:56:15
