id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22023792	1	0	누나, 안 바쁘면 내 이야기 좀 들어줄래? 지난 주말에 부모님댁에 다녀왔는데 부모님께서 빨리 결혼할 사람 데리고 오라고 하시는 거야. 정말 미치겠어.	N	2022-10-04 07:28:54	2022-10-04 07:28:54
BE22023792	2	1	또 그러신 거야? 너 지금 만나는 사람도 없잖아. 무엇보다 결혼할 생각이 없고.	N	2022-10-04 07:28:54	2022-10-04 07:28:54
BE22023792	3	0	그러니까 말이야. 계속 핑계되기도 뭣해서 나는 지금 혼자 사는 생활에 만족한다고 솔직히 말하니까 완전히 뒤집어지셨어. 두 분이 나를 붙들고 결혼하지 않으면 병들고 늙었을 때 돌봐줄 사람도 없다고 일장연설을 하셨어.	N	2022-10-04 07:28:54	2022-10-04 07:28:54
BE22023792	4	1	아이고, 힘들었겠네. 넌 혼자서 네 삶을 잘 꾸려나가고 있잖아. 그런데도 부모님께서 저렇게까지 말씀하시니 네가 무척 곤혹스러웠겠다.	N	2022-10-04 07:28:54	2022-11-08 14:56:30
BE22023792	5	0	정말 너무 말이 안 통하니까 갑갑하다가 나중에는 울화통이 터지더라. 정말 이 문제를 어떻게 해결해야 할지 모르겠어. 부모님을 만나뵙기가 무서울 정도야.	N	2022-10-04 07:28:54	2022-10-04 07:28:54
BE22023792	6	1	그 심정 누구보다 내가 잘 알지. 나도 유학하려고 했을 때 부모님께서 여자가 어디 외국까지 가서 공부한다고 나대느냐며 반대하셔서 무지하게 분노했었지. 그런데 부모님이 나한테는 어릴 때부터 제재가 많으셨지만, 너한테는 안 그러셨잖아.	N	2022-10-04 07:28:54	2022-10-04 07:28:54
BE22023792	7	0	누나에 비하면 나는 자유롭게 하고 싶은 대로 하며 자랐지. 그런데 결혼 문제는 내 의사를 존중해주실 생각이 없으신가 봐. 솔직히 내가 아직 결혼이 급한 나이도 아닌데 벌써 저러시잖아.	N	2022-10-04 07:28:54	2022-10-04 07:28:54
BE22023792	8	1	우리는 자식이니까 부모님 마음을 다 이해할 순 없겠지. 하지만 부모님은 우릴 생각해서 하는 말이라고 해도 부모님이 하시는 말씀에 화가 날 때가 많잖아. 그럴 때마다 정말 숨이 막히는 듯해.	N	2022-10-04 07:28:54	2022-11-08 14:56:30
BE22023792	9	0	맞아. 누나도 내 심정 이해하지?	N	2022-10-04 07:28:54	2022-10-04 07:28:54
BE22023792	10	1	그럼, 이해하고 말고. 결국 네 삶의 주인공은 넌데, 결혼을 하든 말든 네가 결정할 일이지. 넌 자신이 어떤 삶을 원하는지 알 만큼 충분히 현명하고, 지금도 혼자서 잘 살아가고 있잖아.	N	2022-10-04 07:28:54	2022-10-04 07:28:54
BE22023792	11	0	그렇지. 난 이렇게 만족스럽게 잘 살아가고 있는데, 부모님은 왜 그걸 인정하지 못하시고 결혼을 강요하는 걸까?	N	2022-10-04 07:28:54	2022-10-04 07:28:54
BE22023792	12	1	아마 지금 현재의 삶보다 미래의 삶을 걱정해서 그러시겠지. 물론 부모님이 네 삶을 좌지우지하려고 하시는 건 옳지 않지. 하지만 나쁜 뜻으로 그러시는 건 아닐 거야.	N	2022-10-04 07:28:54	2022-10-04 07:28:54
BE22023792	13	0	누나 말이 맞아. 부모님께서 날 사랑하시니까 걱정돼서 하신 말씀이겠지. 그래도 내 삶은 내가 살아가는 것이니까 부모님을 잘 설득해봐야겠어.	N	2022-10-04 07:28:54	2022-10-04 07:28:54
BE22023792	14	1	그래, 부모님과 이 문제를 잘 해결할 수 있기를 바랄게. 자식 이기는 부모는 없다고 하잖아. 결국 부모님께서 내 결정을 받아들이실 테니까 너무 마음 쓰지 않았으면 좋겠어.	Y	2022-10-04 07:28:54	2022-11-08 14:56:30
