id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22021138	1	0	언니, 요즘 내 마음엔 슬픔 뿐인 것 같아. 허리가 너무 아파서 며칠 전에 한의원에 가서 침을 맞았는데, 아직도 통증이 그대로 느껴져. 생각할수록 우울한 마음이 들어.	N	2022-09-24 06:44:00	2022-09-24 06:44:00
BE22021138	2	1	넌 예전부터 허리랑 어깨 관절이 약해서 고생이 많았잖아. 한의원 치료를 받아도 여전히 아프다니, 언니는 너무 슬퍼서 눈물이 날 것 같아.	N	2022-09-24 06:44:00	2022-11-08 14:40:52
BE22021138	3	0	허리가 너무 아파서 도저히 걸을 수도 없으니까 억장이 무너지는 것 같았어. 한의원에 가는 동안에도 통증이 너무 심해서 좌절감이 밀려왔어.	N	2022-09-24 06:44:00	2022-09-24 06:44:00
BE22021138	4	1	언니는 손목만 살짝 아파도 너무 힘들어서 한숨만 나오거든. 네가 얼마나 슬퍼할지 언니는 상상조차 할 수 없을 정도야.	N	2022-09-24 06:44:00	2022-11-08 14:40:52
BE22021138	5	0	예전에는 침만 맞으면 괜찮아졌는데, 이제는 통증도 줄어들지 않아서 하늘이 무너지는 것 같아. 통증이 계속되니까 자꾸만 염세적인 생각이 들어.	N	2022-09-24 06:44:00	2022-09-24 06:44:00
BE22021138	6	1	우리 회사 직원도 디스크로 엄청 고생하다가 결국 사표를 냈거든. 지금 네가 그렇게 슬퍼하는 것도 너무나 당연해.	N	2022-09-24 06:44:00	2022-11-08 14:40:52
BE22021138	7	0	앞으로 남은 인생 동안 제대로 걷지도 못할 거라는 생각이 들면, 슬퍼서 미칠 것 같아. 왜 진작 건강에 신경을 쓰지 않았는지 후회가 밀려와서 괴롭기도 하고.	N	2022-09-24 06:44:00	2022-09-24 06:44:00
BE22021138	8	1	요즘 내 동생이 큰 절망감에 빠진 것 같아서, 언니도 눈물이 눈앞을 가리네. 무슨 말로 널 위로해 줘야 할지 모르겠어.	N	2022-09-24 06:44:00	2022-11-08 14:40:52
BE22021138	9	0	몸이 아프니 회사 승진도 포기해야 할 것 같아. 이제는 아무런 의욕도 없어진 것 같아서 정말 슬퍼.	N	2022-09-24 06:44:00	2022-09-24 06:44:00
BE22021138	10	1	언니는 동생의 마음을 조금이라도 위로해 주고 싶은 심정이야. 그러니 혼자서 너무 슬퍼하지 말고 얼른 기운을 냈으면 좋겠어. 넌 누구보다 강한 의지를 갖고 있고 성격도 꾸준하니, 치료 받으면 곧 회복할 거야.	N	2022-09-24 06:44:00	2022-11-08 14:40:52
BE22021138	11	0	언니가 그렇게 위로해 주고 격려해 주니 기운이 나는 것 같아. 힘든 내 마음을 따뜻하게 보듬어 줘서 정말 고마워.	N	2022-09-24 06:44:00	2022-09-24 06:44:00
BE22021138	12	1	넌 힘든 일이 있을 때마다 늘 지혜롭게 잘 극복해 왔잖아. 아픈 허리도 꾸준히 운동하고 치료 받으면 좋아질 거야.	N	2022-09-24 06:44:00	2022-11-08 14:40:52
BE22021138	13	0	내가 힘들 때마다 큰 힘이 돼 주는 언니에게 어떻게 감사한 마음을 표현해야 할지 모르겠어. 진심으로 고맙게 생각해, 언니.	N	2022-09-24 06:44:00	2022-09-24 06:44:00
BE22021138	14	1	나도 너 같은 동생이 있어서 정말 좋아. 동생이지만 배울 점도 많아서 늘 고맙게 생각하기도 하고.	N	2022-09-24 06:44:00	2022-11-08 14:40:52
BE22021138	15	0	언니가 있는 건 정말 큰 행운이야. 나이가 들수록 더 절실하게 느끼는 것 같아. 언니, 내가 앞으로 더 잘 할게.	Y	2022-09-24 06:44:00	2022-09-24 06:44:00
