id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22015764	1	0	저 지금 너무 불안해요.	N	2022-08-26 10:09:51	2022-08-26 10:09:51
BE22015764	2	1	저런, 무슨 일이길래 그래요?	N	2022-08-26 10:09:51	2022-08-26 10:09:51
BE22015764	3	0	곧 집들이가 있어서 민어를 주문했는데 택배 파업 때문에 계속해서 배달이 지연되고 있어요. 제가 민어 맛집에서 민어회 주문할 거라고 기대하라고 이미 말도 해놨는데 택배가 안 오고 있어서 불안하고 걱정돼요.	N	2022-08-26 10:09:51	2022-11-08 14:05:05
BE22015764	4	1	정말 속이 말이 아니겠네요. 염려할 수밖에 없는 감정화자씨 마음이 이해가 가요.	N	2022-08-26 10:09:51	2022-11-08 14:05:05
BE22015764	5	0	너무 걱정돼서 판매자한테 문의 글 남겼어요. 빨리 답변이 달렸으면 좋겠는데 그렇지 못해서 안절부절못하게 되네요.	N	2022-08-26 10:09:51	2022-11-08 14:05:06
BE22015764	6	1	그 심정 너무 이해가 돼요. 저도 예전에 결혼식 때문에 쇼핑했었는데 택배 파업으로 제때 못 받을까 봐 불안했던 적이 있었거든요. 그때 생각하면 아직도 가슴이 철렁한데 감정화자씨는 지금 얼마나 마음이 불편하겠어요.	N	2022-08-26 10:09:51	2022-11-08 14:05:06
BE22015764	7	0	주문한 걸 집들이하는 날 전까지 받지 못할까 봐 마음이 편치 않네요. 이것 때문에 다른 일에 집중도 못하고 있어요.	N	2022-08-26 10:09:51	2022-08-26 10:09:51
BE22015764	8	1	아직 일어나지 않은 일에 과도하게 걱정하며 불안하기보다는 생각을 좀 비우는 게 어때요. 걱정 때문에 아무것도 못하는 대신에, 차라리 다른 일에 집중하면서 걱정을 떨쳐내 봅시다.	N	2022-08-26 10:09:51	2022-08-26 10:09:51
BE22015764	9	0	하지만 좀처럼 이 마음을 진정시킬 수가 없네요. 자꾸만 불안한 생각만 들어요.	N	2022-08-26 10:09:51	2022-08-26 10:09:51
BE22015764	10	1	집들이는 이사를 축하하고, 새출발을 응원하는 자리잖아요. 민어가 없더라도 충분히 멋질 거니 너무 염려는 하지 마세요.	N	2022-08-26 10:09:51	2022-11-08 14:05:06
BE22015764	11	0	그렇게 말해주니까 이제 마음이 진정되네요. 맞는 말씀이에요. 민어가 꼭 주인공일 필요는 없겠지요.	N	2022-08-26 10:09:51	2022-11-08 14:05:06
BE22015764	12	1	제 말이 도움이 됐다는 사실에 너무나도 기쁘네요. 택배 파업을 하시는 분들도 잘 협의가 이루어지면 좋겠어요.	N	2022-08-26 10:09:51	2022-11-08 14:05:06
BE22015764	13	0	택배가 우리 생활에 얼마나 중요한지 깨닫게 되는 요즘입니다.	N	2022-08-26 10:09:51	2022-08-26 10:09:51
BE22015764	14	1	택배 파업도, 감정화자님의 집들이도 모두 무사히 마쳤으면 좋겠네요.	N	2022-08-26 10:09:51	2022-11-08 14:05:06
BE22015764	15	0	네, 덕분에 큰 위로가 되었어요! 공감화자씨도 평온한 나날이 지속되기를 바랄게요.	Y	2022-08-26 10:09:51	2022-11-08 14:05:06
