id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22027988	1	0	자기야, 나 정말 동생 때문에 너무 마음이 안 좋고 마음이 상처로 가득해. 착한 게 아니라 너무 바보 같은 동생 때문에 어쩔 바를 모르겠어. 내가 나쁜 누나인 거 같아.	N	2022-10-13 13:12:20	2022-10-13 13:12:20
BE22027988	2	1	왜, 무슨 걱정이라도 생긴 거야? 자기 기분이 안 좋은 거 같아서 너무 마음이 쓰이네. 무슨 일인지 나한테 얘기해 봐.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	3	0	내가 작년에 대학에 합격하면서 올해 동생은 대학에 가지 않았어. 물어보면 그냥 가기 싫어서 안 갔다는데 등록금 낼 형편이 되지 않아서인 거 같아. 그래서 정말 미안하고 마음에 상처를 입었어.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	4	1	그런 속상한 일이 있었구나, 말하지 않아서 전혀 모르고 있었어. 동생의 마음도 자기의 마음도 이해가 가서 마음이 너무 아프네. 자기가 어떤 심정으로 나에게 문자를 보냈을지 충분히 이해된다.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	5	0	누나가 어떻게 해서든 등록금을 대줄 테니 대학에 가라고 했지만, 말을 듣지 않네. 나 때문인 거 같은 죄책감도 들면서 마음이 너무 아프고 상처가 오래갈 거 같아. 동생이라는 이유로 저런 피해를 봐야 한다는 현실이 너무나 안타깝고 눈물이 나올 거 같아.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	6	1	왜 안 그러겠어, 나였어도 이런 일을 겪었다면 너무 속상하고 상처가 됐을 거 같아. 힘든 와중에도 동생을 생각하는 우애 깊은 마음이 참 대단한 거 같아. 지금의 감정을 진정시키고 동생에게 자기의 진심을 다시 한번 전하면 좋을 거 같아.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	7	0	하지만 내 동생은 한 번 마음 먹으면 다시 바꾸지 않는 성격 탓에 쉽지는 않아. 그냥 이런 현실이 나에겐 너무나 큰 상처고 괴롭기도 해. 누나로서 동생에게 도움을 주지는 못하고 피해만 주는 거 같아서 마음이 안타까워.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	8	1	동생에게 미안한 마음에 그런 생각이 드는 거 당연해. 동생의 뜻도 있는 거니까 오히려 부담을 주다 보면 동생도 더 힘들어하지 않을까? 동생의 마음을 이해해 주고 지금을 극복하고자 노력한다면 조금은 나아질 거라 생각해.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	9	0	정말 그럴까? 그래도 지금의 이 상처가 너무 크게 자리 잡고 있어서 금방 이겨낼 수 있을지 모르겠네. 심적으로 받은 상처와 힘든 마음 때문에 아무런 의욕이 생기지 않는 요즘이거든. 내가 자기의 말대로 극복을 할 수 있을지 자신이 안 서.	N	2022-10-13 13:12:20	2022-10-13 13:12:20
BE22027988	10	1	물론 당장의 일이라 상처 입은 마음이 커서 어려울 거 같단 생각이 들 거야. 하지만 시도를 해보기도 전에 포기한다면 다시는 일어설 용기도 안 생길 거야. 조금 더 기운을 내서 굳게 마음을 먹고 극복하고자 한다면 반드시 그럴 수 있어.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	11	0	자기라도 나에게 힘이 나는 말들을 해주니 상처 입은 마음이 조금은 치유가 되는 기분이야. 당장은 어렵겠지만 최대한 노력을 해서 이겨내야겠다는 용기도 얻었어. 동생에게도 밝은 모습을 보여주며 동생이 원하는 길을 갈 수 있게 최대한 도와줘야겠어.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	12	1	정말 너무 좋은 생각이야. 이런 마음을 가지는 것도 쉽지 않았을 텐데 그저 너무 대단하고 응원의 박수를 보낼게. 항상 이런 의지만 갖추고 있다면 어떤 일이든 잘 이겨낼 거라 믿어.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	13	0	다 자기 덕분이야, 자기가 아니었더라면 이런 시도조차 안 해봤을 거야. 가정 형편 때문에 동생은 대학에 가지 않아서 상처를 입고 너무 괴로웠어. 그래도 이렇게 자기랑 대화하면서 마음이 많이 후련해졌고 용기까지 얻을 수 있게 해줘서 고마워.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	14	1	고맙기는, 당연한 걸 가지고. 원래 슬픔과 상처는 누군가와 나누면 반이 된다고 하잖아. 언제든 오늘과 같은 고민이 생기면 혼자 이겨내려 애쓰지 말고 나한테 얘기하고 풀어.	N	2022-10-13 13:12:20	2022-11-08 15:21:28
BE22027988	15	0	응, 말이라도 항상 정말 고마워. 자기가 옆에 있어서 얼마나 다행이고 마음이 든든한지 몰라. 오늘 일도 자기의 말처럼 꼭 극복해서 더 행복한 남매로 지내볼게.	Y	2022-10-13 13:12:20	2022-11-08 15:21:28
