id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22023172	1	0	언니, 여기 너무 좋다! 결혼기념일이라 신랑이랑 둘이 여행하러 왔거든. 너무 여유롭고 좋다!	N	2022-10-01 14:08:24	2022-11-08 14:52:50
BE22023172	2	1	이번 결혼기념일은 어디로 여행을 갔어? 그래도 제부랑 어떻게 시간이 맞춰서 갔구나.	N	2022-10-01 14:08:24	2022-10-01 14:08:24
BE22023172	3	0	이번에는 제주도로 놀러 왔어. 몇 년 만에 오는 제주도인지 정말 하루하루가 기대되는 거 있지. 결혼기념일이라 정말 행복한데 신랑과 둘만 여행이라니 정말 몇 배로 행복해.	N	2022-10-01 14:08:24	2022-10-01 14:08:24
BE22023172	4	1	단둘만의 제주도 여행이라니 상상만 해도 너무 흥분되고 좋을 것 같다. 오랜만에 두 사람이 하는 여행이니 얼마나 설레고 기분 좋을까. 네가 들떠서 두근거리는 마음이 나한테까지 전달되어서 덩달아 기분이 좋아지네.	N	2022-10-01 14:08:24	2022-11-08 14:52:50
BE22023172	5	0	응, 이번에는 아이들 있을 못했던 스쿠버 다이빙도 해볼 거야. 자격증은 땄지만, 애들이 있어서 바닷속에 들어갈 엄두를 못 냈었는데 결혼기념일 제대로 즐기고 갈 거야.	N	2022-10-01 14:08:24	2022-11-08 14:52:50
BE22023172	6	1	너 정말 애들 키우며 치열하게 살았던 거 옆에서 다 봤어. 너희 결혼기념일을 축하도 하지만 누구보다 둘만의 여행을 응원해. 힘들었던 거 다 날리고 기분 전환 제대로 하고 왔으면 좋겠어.	N	2022-10-01 14:08:24	2022-11-08 14:52:50
BE22023172	7	0	아이들 위주로 다녔었는데 이번에는 우리만의 여행이라 설레다 못해 떨려. 휴가까지 내가 모처럼 길게 왔으니 더 여유롭게 즐기다가 갈 거야. 그동안 누리지 못했던 거 가 누리고 즐기다가 갈 거야.	N	2022-10-01 14:08:24	2022-10-01 14:08:24
BE22023172	8	1	가족 여행도 좋지만 두 사람만의 시간도 필요하지. 연애할 때 생각하면서 두 사람이 더 재미있게 즐기다가 왔으면 좋겠다. 애들은 내가 다 책임지고 있을 게 답답한 일상생활을 떠나서 제주도를 만끽하고 와.	N	2022-10-01 14:08:24	2022-11-08 14:52:51
BE22023172	9	0	무엇보다 제주도가 이렇게 아름다웠는지 몰랐어. 그냥 이곳에서 시원한 바람만 맞아도 힐링이 되는 느낌이라고 할까. 저 멀리서 밀려오는 파도를 보고 있는 것만으로도 너무 만족하고 좋아.	N	2022-10-01 14:08:24	2022-11-08 14:52:51
BE22023172	10	1	제주도는 알게 모르게 느껴지는 게 외국 같은 느낌이 있는 것 같아. 현지인들의 방언을 들으면 못 알아들어서 더욱더 그런 거 같아. 너의 말에서 느껴지는 여유와 만족감이 나까지 기분 좋게 만드네.	N	2022-10-01 14:08:24	2022-11-08 14:52:51
BE22023172	11	0	보름 중에 벌써 이틀이나 지나갔다는 게 믿기지 않아. 여유를 즐기다 보니 시간은 빨리 가지만 아직 남아 있는 시간도 정말 기대되는 제주도야.	N	2022-10-01 14:08:24	2022-11-08 14:52:51
BE22023172	12	1	와, 그렇게 길게 계획하고 가는 여행에 못 가보는 곳은 없겠는걸? 결혼기념일 제주도 여행을 제대로 준비해서 간 네 모습이 멋있다.	N	2022-10-01 14:08:24	2022-11-08 14:52:51
BE22023172	13	0	언니가 부러워하고 칭찬해주니 내 기분이 정말 날아갈 것 같아지는데?	N	2022-10-01 14:08:24	2022-10-01 14:08:24
BE22023172	14	1	행복한 너희의 여행을 실시간으로 사진과 함께 볼 수 있어서 내가 더 기뻐. 재미있게 즐기고 예쁜 사진 많이 찍어서 보여줘.	Y	2022-10-01 14:08:24	2022-11-08 14:52:51
