id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22018825	1	0	엄마, 저 저번에 이야기한 친구 있잖아요, 그 친구 때문에 너무 슬퍼요. 계속 생각이 나는 게 너무 힘들어서 견디기가 어려워요.	N	2022-09-19 13:19:18	2022-09-19 13:19:18
BE22018825	2	1	그 전세 자금 사기를 당했다는 친구 말이니? 엄마도 너무 마음이 아프고 안타깝더라. 친구로서 네가 얼마나 힘들지 이해해.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	3	0	네, 맞아요. 무엇보다 친구의 불행을 제가 해결해 줄 수 없다는 게 너무 슬프고 마음 아파요. 친구가 빚을 갚기 위해 몇 달 동안 힘들게 노력하는 모습을 보면서도 저는 도울 수가 없잖아요.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	4	1	우리 아들이 친구를 지켜보면서 정말 힘들고 슬펐구나. 가장 친한 친구가 그렇게 고생하는데도 도와줄 수 없어서 얼마나 비통한 마음이 들었겠어.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	5	0	제가 해줄 수 있는 건 위로뿐이라 더 슬픈 마음이 드는 것 같아요. 마음 같아서는 제 돈이라도 빌려주고 싶은데 저도 형편이 어려우니 그럴 수도 없고. 어제 친구랑 이야기하는데 친구가 힘들다고 우는 모습을 보며 정말 마음이 찢어질 것 같았어요.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	6	1	그런 죄책감이 들어서 우리 아들이 힘들어했다니, 엄마도 너무 슬프다. 같이 몇 달 동안 고통받았을 것을 생각하니까 눈물이 핑 돌아. 그래도 친구에게는 네가 정말 큰 힘이 될 거니까, 너무 힘들어하지 않았으면 좋겠어.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	7	0	그렇게 생각해보려고 해도, 왜 제 친구에게 이런 불행이 생긴 건지 너무 슬퍼요. 잘못한 사람은 따로 있는데 왜 피해자만 이렇게 고생해야 하는 건지 우울해요.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	8	1	맞아, 그래도 네가 재판을 하는 데에도 정말 많은 도움을 줬고 또 친구를 위로해줬었잖아. 분명 우리 아들이 큰 힘이 되었을 거야. 엄마도 친구 사연에는 정말 가슴 아프지만, 우리 아들은 친구로서 충분히 도움이 되었다고 생각하는걸.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	9	0	그렇게 말씀해주셔서 감사해요. 그렇지만 재판 때도 제가 큰 도움이 못 된 것 같아서 슬픈걸요. 저도 이미 일어나버린 일이란 걸 알지만 자꾸만 해결될 수 없는 이 상황을 탓하게 되어서 우울해요.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	10	1	그럴 때일수록 너도 정신 똑바로 차리고 친구에게 힘이 돼주어야지. 너 잘못도 너 친구의 잘못도 아니니까 너무 우울해하지 말고 힘내. 친구에게 분명 너는 가장 든든한 존재일 테니까 죄책감도 조금은 내려놓았으면 좋겠어.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	11	0	네, 엄마 말씀처럼 이성적으로 생각하도록 노력해야겠어요. 그렇게 말씀해주시니까 마음이 조금은 편해지는 것 같아요. 슬프고 우울한 마음은 조금 내려놓아야겠어요.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	12	1	그래, 잘 생각했어, 우리 아들. 엄마도 도울 일이 있다면 꼭 도울 테니까 자주 연락해서 안부 전해줘.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	13	0	감사해요, 엄마. 엄마는 늘 제 멘털에 가장 큰 도움이 돼요. 엄마 말씀을 들으니까 조금은 긍정적으로 생각해볼 수 있을 거 같아요.	N	2022-09-19 13:19:18	2022-11-08 14:23:42
BE22018825	14	1	그래, 밤늦었는데 잘 자고 또 연락하자.	Y	2022-09-19 13:19:18	2022-11-08 14:23:42
