id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22030475	1	0	여보, 지금 점심 시간이지? 난 오전에 정말 멋진 광경을 봤어.	N	2022-10-17 09:58:10	2022-10-17 09:58:10
BE22030475	2	1	당신도 점심 먹었어? 당신은 무슨 일로 그렇게 기분이 좋은 거야?	N	2022-10-17 09:58:10	2022-10-17 09:58:10
BE22030475	3	0	건물 저편으로 거대한 무지개가 떠 있는 걸 보고 환호성을 질렀어. 무지개가 커다란 활 모양을 그리며 눈부시게 떠 있던 그 모습이 지금도 눈에 선해. 당신에게 사진 전송해 줄게.	N	2022-10-17 09:58:10	2022-10-17 09:58:10
BE22030475	4	1	와, 사진만 봐도 감탄이 절로 나오네. 정말 멋진 광경을 보니, 나도 입이 다물어지지 않아.	N	2022-10-17 09:58:10	2022-11-08 15:36:35
BE22030475	5	0	무지개를 본 것도 정말 오랜만인데, 이렇게 커다란 무지개는 평생 처음 본 것 같아. 너무 기뻐서 아직도 마음의 흥분이 가라앉지 않아.	N	2022-10-17 09:58:10	2022-10-17 09:58:10
BE22030475	6	1	당신이 환한 표정으로 무지개를 바라보고 있을 모습이 내 눈앞에 보이는 것 같아. 아마도 어린 소녀처럼 마음이 들떴을 것 같아.	N	2022-10-17 09:58:10	2022-11-08 15:36:35
BE22030475	7	0	아름다운 일곱 색깔의 무지개를 바라보고 있으니, 마치 어린아이처럼 기분이 좋았어. 그 어떤 예술 작품보다 아름다웠어.	N	2022-10-17 09:58:10	2022-10-17 09:58:10
BE22030475	8	1	맞아, 때로는 자연이 우리에게 정말 커다란 감동을 주는 것 같아. 나도 당신 덕분에 무지개를 보니, 왠지 가슴이 벅차 올라.	N	2022-10-17 09:58:10	2022-11-08 15:36:35
BE22030475	9	0	앞으로 이렇게 아름다운 무지개를 또 볼 수 있을까? 마치 아름다운 꿈을 꾼 것처럼 아련한 마음마저 들어.	N	2022-10-17 09:58:10	2022-10-17 09:58:10
BE22030475	10	1	당신은 나이가 들어도 항상 소녀처럼 아름다운 감성을 잃지 않는 것 같아. 길가에 핀 꽃에 감탄하고, 길고양이를 봐도 사랑스러워서 어쩔 줄 모르고. 난 당신의 그런 모습이 정말 사랑스럽고 좋아.	N	2022-10-17 09:58:10	2022-11-08 15:36:35
BE22030475	11	0	당신에게 그런 말 들으니 좀 쑥스럽기도 하네. 내가 너무 어린아이 같다는 생각이 들어서 부끄럽기도 하고.	N	2022-10-17 09:58:10	2022-10-17 09:58:10
BE22030475	12	1	사람은 어른이 되어도 늘 마음속에는 어린아이가 살고 있잖아. 난 그렇게 생각해.	N	2022-10-17 09:58:10	2022-11-08 15:36:35
BE22030475	13	0	나의 이런 모습을 늘 좋게 봐 주는 당신에게 감사해. 이건 내 진심이야.	N	2022-10-17 09:58:10	2022-10-17 09:58:10
BE22030475	14	1	나도 당신에게 고마운 점이 정말 많아. 오늘도 당신 덕분에 이렇게 근사한 무지개를 함께 볼 수 있었잖아.	N	2022-10-17 09:58:10	2022-10-17 09:58:10
BE22030475	15	0	당신과 이야기하다 보니, 내 마음의 기쁨이 두 배가 된 것 같아. 정말 사랑해, 여보.	Y	2022-10-17 09:58:10	2022-10-17 09:58:10
