id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22016400	1	0	이번 주에 부모님 환갑이셔서 떡집에서 떡을 주문했어.	N	2022-08-30 14:39:43	2022-11-08 14:09:05
BE22016400	2	1	너무 기쁜 날이구나! 떡은 잘 나왔어?	N	2022-08-30 14:39:43	2022-08-30 14:39:43
BE22016400	3	0	아니, 그거 때문에 너무 화가 나서 머리가 다 아파. 떡을 내가 만들어도 이것보단 잘 만들겠어, 주문한 거랑 너무 달라! 이렇게 분노하긴 또 처음이야.	N	2022-08-30 14:39:43	2022-08-30 14:39:43
BE22016400	4	1	너 정말 화가 날 수밖에 없겠다. 네 마음 충분히 이해해, 말로만 듣는 나도 이렇게 화가 나는데 너는 오죽하겠어!	N	2022-08-30 14:39:43	2022-11-08 14:09:05
BE22016400	5	0	하필 중요한 날을 코앞에 두고 이런 일이 생겨서 더 화가 나는 거 같아. 왜 내가 책임진다고 해서 이런 사달이 났는지 스스로가 한심스럽고 더 부아가 치밀어 올라.	N	2022-08-30 14:39:43	2022-08-30 14:39:43
BE22016400	6	1	지금 당장은 힘들고 화가 나는 거 충분히 이해해. 그렇다고 네 잘못은 아니니까 너 스스로 너무 자책하면서 힘들어하지는 않았으면 좋겠어.	N	2022-08-30 14:39:43	2022-11-08 14:09:05
BE22016400	7	0	부모님께 말씀드리긴 뭐해서 말은 못 하겠고, 혼자 속으로 화를 삭이는데 얼마나 스트레스인지 몰라. 왜 이런 일이 나한테 일어난 건지, 정말 너무너무 열받아.	N	2022-08-30 14:39:43	2022-11-08 14:09:05
BE22016400	8	1	혼자 마음고생 많이 했겠다. 힘들겠지만 일단 따뜻한 차라도 마시면서 화가 난 너의 기분을 진정 좀 시켜보자. 그리고 이겨내기 위한 굳은 의지를 갖는다면 꼭 이겨낼 거라 믿어.	N	2022-08-30 14:39:43	2022-11-08 14:09:05
BE22016400	9	0	너의 말을 들어보니 내가 너무 나약한 생각만 하면서 화만 냈던 거 같네. 덕분에 조금은 진정이 되는 거 같고, 잘 이겨낼 수 있을 거 같은 용기도 생겼어.	N	2022-08-30 14:39:43	2022-11-08 14:09:05
BE22016400	10	1	네가 이렇게 금방 기운 내는 모습을 보여주니까 정말 다행이고 내 기분이 다 좋아진다. 항상 그런 의지만은 잃지 말고, 용기 내서 극복해 내길 바랄게.	N	2022-08-30 14:39:43	2022-11-08 14:09:05
BE22016400	11	0	이게 다 너의 조언과 응원 덕분이야! 어디 하소연할 데도 없어서 속이 너무 답답했었거든. 너랑 이렇게 대화하고 나니까 많이 후련해졌고 마음이 편해졌어.	N	2022-08-30 14:39:43	2022-11-08 14:09:05
BE22016400	12	1	언제든 고민이나 힘든 일이 있으면 혼자 끙끙 앓지 말고 나한테 얘기해. 마음도 속상한데 말할 사람이 없어서 혼자 이겨내려면 너무 힘들 거 같아.	N	2022-08-30 14:39:43	2022-11-08 14:09:05
BE22016400	13	0	별일 아닌 내 얘기에 진심으로 응원해 주고 좋은 말들까지 해줘서 정말 고마워. 내가 조만간 밥이라도 한번 살게.	N	2022-08-30 14:39:43	2022-11-08 14:09:05
BE22016400	14	1	에이 내가 뭐한 게 있다고, 밥 사준다니 내가 더 고맙네! 그때는 너의 마음이 조금 더 홀가분해진 상태로 만날 수 있으면 좋겠다.	N	2022-08-30 14:39:43	2022-11-08 14:09:05
BE22016400	15	0	응, 나도 그럴 수 있도록 열심히 노력하면서 지내볼게. 그럼 다시 연락하자.	Y	2022-08-30 14:39:43	2022-11-08 14:09:05
