id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22021087	1	0	부하직원한테 큰소리친 게 너무 후회가 된다. 정말 쉬운 일이 없어.	N	2022-09-24 01:04:50	2022-09-24 01:04:50
BE22021087	2	1	근무 중에 연락한 거 보니 당신이 많이 힘들었구나? 늘 뭐든 잘 해내려고 고군분투하느라 힘들지?	N	2022-09-24 01:04:50	2022-09-24 01:04:50
BE22021087	3	0	오히려 밑에 녀석이 내가 프로젝트 방향을 잘 못 잡은 걸 캐치했는데 인정하기가 쉽지 않더라고. 이런 일에 유연하지 못하고 화부터 낸 내 모습이 너무 슬퍼.	N	2022-09-24 01:04:50	2022-09-24 01:04:50
BE22021087	4	1	본인이 틀렸다는 걸 인정하기 쉬운 사람들이 몇이나 있겠어. 더구나 회사에서 직급도 있다 보니 더 수긍하기가 쉽지 않았을 거야. 하지만 마음은 그렇지 않은데 오히려 화를 낸 본인 모습이 후회스러웠을 수 있겠다.	N	2022-09-24 01:04:50	2022-11-08 14:40:34
BE22021087	5	0	화를 내고 싶진 않았는데, 그렇지 않으면 뭔가 내가 틀렸다는 걸 인정하는 꼴이라서. 참 비겁하지?	N	2022-09-24 01:04:50	2022-09-24 01:04:50
BE22021087	6	1	나도 당신한테 그럴 때 자주 있는 걸 뭐. 내가 잘 못했다는 걸 알면서도 괜히 지는 것 같은 기분에 우길 때 많잖아. 그럴 때면 나도 꼭 마음이 불편해서 후회하게 돼.	N	2022-09-24 01:04:50	2022-11-08 14:40:35
BE22021087	7	0	이 불편하고 슬픈 감정을 도대체 어떻게 하면 좋을지 모르겠어. 멋진 사수가 되고 싶었는데 아직 많이 부족한 것 같아.	N	2022-09-24 01:04:50	2022-09-24 01:04:50
BE22021087	8	1	이미 본인이 틀렸다는 것도 잘 못했다는 것도 인지한 것 자체가 대단한 일이야. 그리고 어떻게 해결해야 하는지 고민하는 마음 자체도 이미 훌륭한 사수의 자세이고. 이런 자세라면 분명히 앞으로 더 발전하는 선임이 될 수 있을 거야.	N	2022-09-24 01:04:50	2022-09-24 01:04:50
BE22021087	9	0	답답함은 어디에서 오는 걸까? 우울한 기분에 일이 손에 잡히질 않아.	N	2022-09-24 01:04:50	2022-09-24 01:04:50
BE22021087	10	1	후배에게 제대로 사과하지 못해서 마음이 불편한 것 아닐까? 마음을 조금 다스리고 후배한테 진심으로 손 내민다면 후배도 좋은 선배라 여길 거야. 지금 내게 고백한 것처럼 솔직한 마음을 얘기한다면 오히려 슬픔에서도 벗어날 수 있을 거야.	N	2022-09-24 01:04:50	2022-11-08 14:40:35
BE22021087	11	0	그러게, 이렇게 당신에게는 내가 잘못한 점을 말하면서 정작 후배한테는 미안하다고 사과도 못했네. 사과한다고 마음먹으니 무겁던 마음이 한결 가벼워졌어.	N	2022-09-24 01:04:50	2022-11-08 14:40:35
BE22021087	12	1	항상 본인의 부족함을 깨닫고, 위기를 회피하지 않는 당신이 진짜로 멋있어. 후배도 분명히 당신의 진심을 알아줄 거야.	N	2022-09-24 01:04:50	2022-11-08 14:40:35
BE22021087	13	0	나에게 위로와 용기를 줘서 고마워. 덕분에 오늘 일 잘 마치고 집에 돌아갈 수 있을 것 같아.	N	2022-09-24 01:04:50	2022-09-24 01:04:50
BE22021087	14	1	늘 가족을 위해 이렇게 애쓰면서 일하는 당신이 고맙지. 후배랑 얘기 잘 나누고 있다 집에서 봐.	Y	2022-09-24 01:04:50	2022-09-24 01:04:50
